package,version,license,module,language,source_kind,source_file,dep_scope,vendored_in_repo,copied_adapted,container_only,usage_evidence,risk
${NGINX_IMAGE},UNKNOWN,UNKNOWN,services/vios,container,compose,services/vios/deployment/stream-processing/docker-compose/docker-compose.yaml,runtime,no,no,yes,container-image,Unknown
${NVSTREAMER_IMAGE},UNKNOWN,UNKNOWN,services/vios,container,compose,services/vios/deployment/stream-processing/docker-compose/nvstreamer/docker-compose.yaml,runtime,no,no,yes,container-image,Unknown
${POSTGRES_IMAGE},UNKNOWN,UNKNOWN,deploy,container,compose,deploy/docker/services/vios/foundational/docker-compose.yaml,runtime,no,no,yes,container-image,Unknown
${POSTGRES_IMAGE},UNKNOWN,UNKNOWN,services/vios,container,compose,services/vios/deployment/stream-processing/docker-compose/docker-compose.yaml,runtime,no,no,yes,container-image,Unknown
${REDIS_IMAGE},UNKNOWN,UNKNOWN,services/vios,container,compose,services/vios/deployment/stream-processing/docker-compose/docker-compose.yaml,runtime,no,no,yes,container-image,Unknown
${VSS_VIOS_STREAMPROCESSING_BASE},UNKNOWN,UNKNOWN,deploy,container,container,deploy/docker/services/vios/streamprocessing/Dockerfile.prebaked,runtime,no,no,yes,container-base,Unknown
${VST_SENSOR_IMAGE},UNKNOWN,UNKNOWN,services/vios,container,compose,services/vios/deployment/stream-processing/docker-compose/docker-compose.yaml,runtime,no,no,yes,container-image,Unknown
${VST_STREAM_PROCESSOR_IMAGE},UNKNOWN,UNKNOWN,services/vios,container,compose,services/vios/deployment/stream-processing/docker-compose/docker-compose.yaml,runtime,no,no,yes,container-image,Unknown
@acemir/cssom,0.9.31,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@adobe/css-tools,4.5.0,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@agentclientprotocol/sdk,1.1.0,Apache-2.0,.openclaw,node,lockfile,.openclaw/plugin/package-lock.json,runtime,no,no,no,declared-manifest,None
@alloc/quick-lru,5.2.0,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@anthropic-ai/sdk,0.109.1,MIT,.openclaw,node,lockfile,.openclaw/plugin/package-lock.json,runtime,no,no,no,declared-manifest,None
@ariakit/core,0.4.20,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@ariakit/react,0.4.26,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@ariakit/react-core,0.4.26,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@asamuzakjp/css-color,3.2.0,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@asamuzakjp/css-color,4.1.2,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@asamuzakjp/css-color,5.1.11,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@asamuzakjp/dom-selector,6.8.1,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@asamuzakjp/dom-selector,7.1.1,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@asamuzakjp/generational-cache,1.0.1,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@asamuzakjp/nwsapi,2.3.9,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@babel/code-frame,7.29.7,MIT,services/analytics/video-analytics-api,node,lockfile,services/analytics/video-analytics-api/test/package-lock.json,runtime,no,no,no,declared-manifest,None
@babel/code-frame,7.29.7,MIT,services/ui,node,lockfile,services/ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@babel/code-frame,7.29.7,MIT,services/vios,node,lockfile,services/vios/ui/vios-ui/package-lock.json,runtime,no,no,no,declared-manifest,None
@babel/code-frame,8.0.0,MIT,services/vios,node,lockfile,services/vios/ui/streaming-lib/package-lock.json,runtime,no,no,no,declared-manifest,None
